Date,Store,Dept,Weekly_Sales,IsHoliday,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,Type,Size,Super_Bowl,Labor_Day,Thanksgiving,Christmas,week,month,year
2010-02-05,14,1,32842.31,False,27.31,2.784,0.0,0.0,0.0,0.0,0.0,181.8711898,8.992,A,200898,False,False,False,False,5,2,2010
2010-02-05,14,2,87917.02,False,27.31,2.784,0.0,0.0,0.0,0.0,0.0,181.8711898,8.992,A,200898,False,False,False,False,5,2,2010
2010-02-05,14,3,18487.9,False,27.31,2.784,0.0,0.0,0.0,0.0,0.0,181.8711898,8.992,A,200898,False,False,False,False,5,2,2010
2010-02-05,14,4,66912.92,False,27.31,2.784,0.0,0.0,0.0,0.0,0.0,181.8711898,8.992,A,200898,False,False,False,False,5,2,2010
2010-02-05,14,5,48040.92,False,27.31,2.784,0.0,0.0,0.0,0.0,0.0,181.8711898,8.992,A,200898,False,False,False,False,5,2,2010
2010-02-05,14,6,8992.23,False,27.31,2.784,0.0,0.0,0.0,0.0,0.0,181.8711898,8.992,A,200898,False,False,False,False,5,2,2010
2010-02-05,14,7,34413.92,False,27.31,2.784,0.0,0.0,0.0,0.0,0.0,181.8711898,8.992,A,200898,False,False,False,False,5,2,2010
2010-02-05,14,8,70627.96,False,27.31,2.784,0.0,0.0,0.0,0.0,0.0,181.8711898,8.992,A,200898,False,False,False,False,5,2,2010
2010-02-05,14,9,12532.12,False,27.31,2.784,0.0,0.0,0.0,0.0,0.0,181.8711898,8.992,A,200898,False,False,False,False,5,2,2010
2010-02-05,14,10,22663.72,False,27.31,2.784,0.0,0.0,0.0,0.0,0.0,181.8711898,8.992,A,200898,False,False,False,False,5,2,2010
2010-02-05,14,11,26324.34,False,27.31,2.784,0.0,0.0,0.0,0.0,0.0,181.8711898,8.992,A,200898,False,False,False,False,5,2,2010
2010-02-05,14,12,5567.75,False,27.31,2.784,0.0,0.0,0.0,0.0,0.0,181.8711898,8.992,A,200898,False,False,False,False,5,2,2010
